,col
10,"Доктор: 
- Не волнуйтесь, эрекция при массаже простаты - это нормально. 
Пациент: 
- Но у меня нет эрекции! 
Доктор: 
- Зато у меня есть."
11,"Идут 2 чукчи и тащат убитого моржа за хвост. Навстречу им геолог: 
–Вы чего его за хвост-то тащите??? Он же зубами тормозит? Вы его возьмите за зубы! 
Чукчи так и сделали. Идут, значит. 
Тут один говорит: 
–А-а, молодец, однако, геолог - и правда легче тащить. 
.
.
.
.
.
.
.
–Дурак твой геолог - опять к морю пришли!"
12,тлю. Заходит как-то мужик во временную пе
13,"«Это невозможно», — сказал разум.
«Это опасно», — сказал опыт.
«Попробуй», — шепнула мечта.
«Антоновка», — сказала жопа."
14,"Врач совершает утренний обход. Подходит к первому пациенту:
- Чем болеем, чем лечат, жалобы есть?
- Простатитом, лечат ваткой с йодом, жалоб нет.
Подходит к следующему пациенту:
- Чем болеем, чем лечат, жалоб нет?
- Сифилисом, лечат ваткой с йодом, жалоб нет.
Подходит к следующему:
.
.
.
.
.
- Чем болеем, чем лечат, жалоб нет?
- Ангиной, лечат ваткой с йодом. Одна просьба: пусть мне первому горло мажут."
15,"Отсидел такой реальный урка на зоне пятнашку, вышел, поехал Москву смотреть. Ходит, осматривается, не узнает ничего, все ему нравится. Видит вывеску - ""Шоколадница"". Дай, думает, зайду. 
 
Заходит, садится за столик, кругом чистота, лепота. Подбегает к нему девочка с подносиком, говорит - что будете заказывать? 
- Я, дочка, давно в Москве не был... Хожу вот, смотрю... Принеси ты мне чайку горячего, да и все. 
- Ой, у нас знаете, такой богатый ассортимент! Черный, зеленый, фруктовый... Столько сортов! Вам какой? 
- Ну, я давно в Москве не был, не знаю даже... Принеси на свой вкус! 
 
Девочка несется на кухню: 
- Ой, там такой страшный посетитель сидит! Весь в наколках! Зубы золотые! Чаю попросил на мой вкус. Ой, он такой страшный, он же это.... только что откинулся - если не понравится, он же тут все разнесет, а меня зарежет! 
 
Повар говорит: 
- Да знаю я, какой они чай пьют! Давай сюда все сорта! А теперь килограмм чая - литр кипятка! 
 
Заваривает, девушка это наливает в чайничек, несет посетителю. Урка наливает чашечку, выпивает залпом, долго смотрит на девочку и говорит со вздохом: 
- Хован, ты что ли?"
16,"Приходит мужик на шоу «Ищем таланты». Здоровается жестами.
Ведущий: 
–Вы немой?
Мужик кивает и показывает жестами.
Ведущий:
–А какой у вас талант?
.
.
.
.
.
.
Мужик: 
–Я могу говорить."
17,"– Доктор, у меня сопли и слабость!
– Вы слабак и сопляк."
18,"Группа сорокалетних девчонок решила собраться и пообедать вместе. Поразмыслив, они выбрали ресторан «Морской бриз», потому что там много молодых официантов в обтягивающих брюках. 
Через 10 лет, когда им исполнилось 50, они опять решили пообедать вместе. Выбрали ресторан «Морской бриз», потому что там хорошая еда, большой выбор вин и симпатичные официанты. 
Еще через 10 лет, когда им исполнилось 60, они опять решили пообедать вместе. Выбрали ресторан «Морской бриз», потому что там тихо, красивый вид на океан и вежливые официанты. 
Через 10 лет, когда им исполнилось 70, они опять решили пообедать вместе. Выбрали ресторан «Морской бриз», потому что там есть лифт и можно подняться в обеденный зал в инвалидной коляске, а официанты всегда готовы помочь. 
.
.
.
.
Через 10 лет, когда им всем исполнилось 80, они опять решили пообедать вместе. Выбрали ресторан «Морской бриз», потому что раньше там еще не бывали."
19,"Украинец съездил по турпутевке в Испанию, рассказывает про корриду:
— Ну, арена така гарна, на трыбунах – испански чоловикы вси таки гарни, спокийни, испанские жинки – гарни, спокийни, выпустили быка на арену – вэлыкый такый бык, спокийный, тореадор вышел – гарный, спокийный…
.
.
.
.
.
И тут тореадор достал комуняцький флаг! И вси як з ума посходили!!!"
20,"Идут по пустыне Араб, Индус и Негр. День идут, два, три. Чуть живые поднимаються на бархан и видят оазис, а в нем дом стоит. Заходят в дом, а там крестьянин. Они ему и говорят:
— Хозяин, пусти переночевать и воды попить.
Крестьянин репу почесал и отвечает:
— Всегда рад добрым людям, вот только кровати у меня свободных только две, поэтому кому-то придется ночевать в хлеву.
Араб говорит:
— Не вопрос, я пойду в хлев.
Уходит... Через пять минут стук в дверь. Открывают, на пороге араб:
— Я не могу там спать, там свинья-грязное животное.
Индус говорит:
— Тогда я пойду.
Уходит... Через пять минут опять стук в дверь. Открывают, на пороге индус:
— Я не могу там спать, там лошадь-священное животное.
Негр говорит:
— Тогда пойду я.
Уходит... Через пять минут стук в дверь. Открывают, на пороге стоят свинья и лошадь."
21,"Мужик заходит в бар вместе со своим десятилетним сыном и заказывает кружку пива. Сын спрашивает: 
– Папа, а можно и мне пива? 
– А ты сможешь достать своим концом до носа? 
– Нет. 
– Вот ты сам и ответил на свой вопрос. 
Через некоторое время мужик закуривает сигарету. Сын спрашивает: 
– Папа, а можно и мне покурить? 
– А ты сможешь достать своим концом до носа? 
– Нет. 
– Вот ты сам и ответил на свой вопрос. 
Затем они выходят из бара и видят лоток мгновенной лотереи. Отец покупает себе билет, стирает защитный слой – пусто. Сын спрашивает: 
– Папа, а можно и мне сыграть в лотерею. 
– Да, в лотерею можно. 
Сын покупает билет, стирает защитный слой… и выигрывает 500 000 рублей! 
Отец спрашивает: 
– Сынок, надеюсь, ты со мной поделишься? 
– Папа, а ты сможешь достать своим концом до носа? 
– Конечно, сынок! 
– Вот и отсоси сам у себя!"
22,"Украинская деревня, ночь. Мужик под окном хаты (шопотом): 
— Мыкола! 
оттуда(сдавленный шопот):
— Чеее? 
— Выходь! 
— Зачем? 
— Я тут горилки припас, галушки пожарил, грибочки, огурчики, выпьем! 
— Та не можу! 
— а че??? 
— Та ебусь я, будь оно неладно!!!"
23,"Змей Горыныч налетел на деревню, все пожег, коров поел, мужиков отлупил... Потом забрался на горку, посмотрел на весь этот погром и застенчиво так говорит: 
–Ах, какой я забавный зверек!"
24,"Моется мужик в бане и видит трех негров.
Негры как негры, только у одного член белый. Он подходит к ним и спрашивает: 
- Эй негры, а че у него хобот белый?
ему отвечают: 
- Мы не негры, мы кочегары, а к Васе сегодня жена приезжала"
25,"Нашла жена золотую рыбку, рыбка ей говорит:
-Отпусти меня, и я исполню любое твоё желание!
-Хочу чтобы муж никогда не говорил слово""нет"".
-Готово!
Возвращается жена домой и говорит мужу:
-Дорогой, купи мне шубу
-Пошла нахуй"
26,
27,"Филармония. Полный зал.
Конферансье:
–Первый концерт для скрипки с оркестром. Пётр Ильич Чайковский.
 Заканчивается концерт, из первого ряда встаёт серьёзный мужик с огромным букетом, подходит к дирижёру и говорит:
.
.
.
.
.
.
.
.
.
–Пётр Ильич, для первого раза – просто охуенно!"
28,"Летит орел. Из жопы у него вылезает червячок и спрашивает:
–Командир, какая высота?
–6 тысяч метров.
Глист залезает обратно.
Через полчаса опять: «Командир, какая высота?»
–7 тысяч метров!
Тот обратно в жопу
.
. 
.
Еще через некоторое время: «Командир, какая высота?»
–8 тысяч. Полет нормальный.
–Ты, командир, только не обосрись. Экипаж волнуется."
29,"- Ахмед - сколько будет 5+5?
- Десат
- А 8+4?
- Девьят
- Неправильно
- Восем
- Блять, побежали отсюда"
30,"Жили-были в одном городишке два ассенизатора — отец и сын. Канализации у них там не было, а просто выгребные ямы с этим самым. И они это самое вычерпывали ведром и заливали в свою бочку, причем отец, как более опытный специалист, спускался в яму, а сын сверху подавал ему ведро. И вот однажды сын это ведро не удержал и обрушил обратно на батю. 
.
.
.
.
.
Ну, батя утерся, посмотрел на него снизу вверх и сказал ему с горечью: 
–Чучело ты, — говорит, — огородное, тундра! Никакого толка в тебе не видно. Так всю жизнь наверху и проторчишь."
31,"Идут три армянина по улице, перед ними красивая девушка. 
Один армянин: 
– Э, чтобы с такой девушкой переспать, я бы и пять тысяч не пожалел! 
Второй: 
– Да что там пять, мне и десять не жалко!
 Третий:
 – Да вы что, такой красавица, такой красавица! Такой девушка надо одеть, обуть, дорогой машина подарить, в ресторан каждый вечер водить! 
Девушка оборачивается:
 – Идите нахуй, 4урки!"
32,"Едут два армянина-колясочника по набережной в Сочи. Вдруг видят лампа лежит. Поднимают, начинают тереть, а оттуда джин появляется и говорит:
–У вас одно желание на двоих.
.
.
.
.
.
.
.
.
–Хотим ходить, – отвечают ему армяне в один голос. Джин подумал и говорит: 
–Раз вас двое, то и ходить вы будете по очереди!
И дал им нарды."
33,"–Мама, что такое чёрный юмор? 
–Как тебе объяснить, сынок... Видишь, мужчина без руки стоит? Скажи ему хлопнуть в ладоши.
–Мама, я же незрячий"
34,"–Алло, Сергей Иванович? Ваша жена вчера напилась на корпоративе. 
–Не может быть! Она ж в рот не берёт!  
–И опять вынужден Вас огорчить..."
35,"–Доктор, у меня жопа болит. 
–В каком месте? 
–У самого входа. 
–Пока вы будете называть это место входом, оно так и будет болеть."
36,"Цирк. Конферансье объявляет: 
— Смертельный номер! Иван Повидлов будет есть говно! 
.
.
.
.
.
Выходит мужик в черном плаще на голое тело, высоких сапогах и в кожаных перчатках. Свет меркнет. Барабанная дробь. Из—за кулис выносят накрытый крышкой горшок. Актер снимает крышку, заглядывает внутрь, морщится, закрывает крышку, отдает горшок и уходит за кулисы. 
Конферансье: 
— Иван Повидлов есть говно не будет! Там волос!"
37,"Мотоцикл прослужит его обладателю до конца жизни, если ездить достаточно быстро."
38,"— А вот когда умирает свинья, проносится ли у нее жизнь перед глазами или как будто бы очень медленно проплывает? 
— Я имею в виду, к свидетелю. 
— К свидетелю вопросов нет, ваша честь."
39,"Штирлицу за шиворот упала гусеница. ""Где-то взорвался танк,"" — подумал Штирлиц."
40,"Заяц поднялся на фондовом рынке и купил машину. Зовёт волка кататься. Пришёл волк, они сели в машину и поехали по полям вокруг леса кататься. Едут, едут, тут навстречу идёт лиса. Заяц останавливается возле лисы, окошко приспускает и говорит ей:
–Загляни-ка в окошко, скажу на ушко кое-что.
Лиса голову в окошко сует, а заяц быстренько окно закрывает. Лисица вырывается, дёргается, но не может никак голову выснуть. Заяц выходит из машины, и начинает ебать её. Отъебал, садится обратно в машину, окно опускает, лиса падает на землю и они уезжают. Волк рядом в ахуе сидит и говорит:
–Ну, машину я себе точно не смогу позволить, а вот дверь обязательно куплю!"
41,"Затеял мужик капитальный ремонт и нанял под это дело двух рабочих - вроде нормальные, не бухают. Приезжает через две недели домой принимать работу, ходит - ну просто заебись всё сделано, не придерешься. Заходит в туалет, а там унитаз блять к потолку прихуячен! Он, естественно: это чё за хуйня? А работяга ему: эй, погоди ругаться, вот смотри! - разбегается, отталкивается от стены, хватается за края унитаза руками, подтягивает к нему свою жопу и начинает срать. Моча с говном, естественно, валятся сквозь ноги вниз, падают ему на спину, грудь и лицо, он отпускает руки, шлёпается в кучу собственного говна и говорит:
- Действительно, Вася, хуёво сделали - надо подправить"
42,"Василий Иванович и Петька поехали за границу, разошлись в разные стороны, а через три месяца встретились — Василий Иванович исхудавший и оборванный, а Петька нарядный и в золоте. И Петька рассказывает, как разбогател: 
–Захожу в клуб, а там в карты в очко играют. Вначале-то карта не шла. А потом один говорит: «У меня очко!» А я ему: «Ну-ка покажи!» А он: «Джентльменам верят на слово!» И тут у меня карта как поперла..."
43,"Приехал мужик в посёлок к чукчам машину продавать, все вышли вместе с главой посёлка посмотреть что же за машину будут им предлагать. Продавец говорит мол машина волшебная, сквозь стены домов может телепортироваться
- не верю, однако, говорит глава посёлка. Мужик им и говорит: - все глаза закройте и когда откроете, то машина уже сквозь дом переместится. Закрыли глаза чукчи и пока ничего они не видели мужик перегнал машину за дом. 
- волшебство, однако, воскликнул глава посёлка и купил машину. Продавец уехал, а чукча захотел телепортироваться сквозь дом на машине, приказал всем чукчам закрыть глаза, сам разогнался на машине и врезался в стену дома. Машина вдребезги, дом покосился. Чукча вылазит из машины и злостно спрашивает: - какая билять глаза не закрыла???"
44,"Старый моряк в дальнем плавании выходит на палубу покурить, к нему подходит молодой моряк и просит курнуть, тот не отказывая даёт молодому затянуться, молодой после затяжки спрашивает у старого моряка, что за чудный табак он курит, на что тот пояснил, что это волосы любимой женщины, мол, когда ухожу в дальнее плавание стригу у своей любимой женщины внизу волосы и когда курю их, то вспоминаю о ней.
Ну ладно, я так тоже сделаю - сказал молодой моряк.
Проходит пол года, снова дальнее плавание, выходит старый моряк на палубу покурить а там молодой стоит и пыхтит во всё горло, старый моряк и спрашивает у него, что куришь, на что молодой моряк с гордостью заявляет, волосы любимой женщины ! 
Старый: Ну-ка дай мне затянуться, оценю. Молодой моряк протягивает с гордостью старому, тот затягивается и тут-же начинает сильно кашлять ! 
Крепкие? - спрашивает молодой моряк, 
Старый: Ага
Молодой: А почему?
Старый: Да, близко к жопе рвёшь."
45,"Приходит Фор Эссозимна Гнассингбе домой грустный. Жена его спрашивает:
— Дорогой, что случилось?
— Я посетил казино и это стоило Того."
46,"Приходит старый еврей к нотариусу.
- Здравствуйте, вы нотариус?
- Да.
- Настоящий?
- Настоящий.
- И что, свидетельство у вас есть?
- Да, вон, на стене висит.
- Можно взглянуть?
- Пожалуйста.
Смотрит, что-то изучает, губами шевелит...
- А печать у вас есть?
- Есть, конечно.
- Настоящая?
- Настоящая.
- Можно взглянуть?
- Можно.
Нотариус достает печать из сейфа, еврей вертит ее в руках, смотрит...
- А гербовая бумага у вас есть?
- Ну разумеется.
- И что, настоящая?
- Самая что ни на есть.
- С водяными знаками?
- Ну да.
- Дайте взглянуть?
- Взгляните.
Долго смотрит на свет...
- И что, можно написать завещание и вы его заверите?
- Пожалуйста. Садитесь, вот ручка.
Написал заголовок, задумался...
. 
. 
. 
. 
. 
. 
. 
- Скажите, а ""никому них#я"" - слитно, или раздельно пишется?"
47,"- Доця,ти козу доiла?
- Доiдаю..."
48,"— Добро пожаловать в наш оупенспейс 
— Но это же заброшенный подвал 
— Это лофт 
— Но там в углу крысы доедают наркомана 
— Это перформанс 
— А что за бомж в порванном костюме? 
— Это наш коуч, Артемий 
— А проститутка рядом с ним? 
— Фешн–консультант Натали. Пройдемте на кухню. Берите фалафель. 
— Но это же хлебный мякиш. 
— Нут в этому году плохо уродил. 
— А Что это за зек возле плиты? 
— Это наш веган–шеф–повар Николай. Он недавно вышел по УДО. Желаете смузи? 
— Похоже на чифир. 
— У Николая свой секретный рецепт смузи. 
— Все таки интересно узнать судьбу наркомана, который лежит в углу. 
— Это наш сммщик. Отдал свою жизнь ради искусства. Получился неплохой перформанс, как считаете? 
— Да, неплохой. Парень, который нюхает клей из пакета, местный вейпер? 
— Как догадались? 
— Да так, чисто интуитивно. 
— А, что за сумасшедшая женщина с котами? 
— наш HR 
— А вас как зовут? 
— Валера, я CEO. Знаю наизусть все цитаты великих людей, которые помогли мне стать успешным. Сигареткой не угостите?"
49,"— Доктор, вот у меня почему‑то раны вокруг рта… 
— М‑м, кажется, Вы едите с ножа, не пользуетесь вилкой и ложкой. 
— Да? Да, это так. Но ложкой мне неудобно. 
— Тогда вот Вам йод. 
 
— Доктор, а почему я суп так медленно ем? И мне очень неудобно. 
— Потому что Вы едите его ножом. Ешьте ложкой. 
— И это все, что человек с медицинским образованием может мне сказать? 
— Да. То есть нет. Можете отхлебывать из тарелки через край. 
— Доктор, Вы вообще в своем уме? 
 
— Доктор, почему на меня в ресторане так странно поглядывают? 
— Потому что Вы едите ножом. Пользуйтесь вилкой и ложкой. 
— Знаете, мне это уже говорили. А другого объяснения нет? 
— Возможно, есть, но это не важно. Важно есть твердое вилкой, а жидкое ложкой. 
— Кажется, я совсем не понимаю мира и не гожусь для этой жизни. 
— С Вами все в порядке, только возьмите ложку, когда принесут суп. 
 
— Доктор, доктор! Мне так больно, у меня кровь течет! За что мне это? 
— А чем Вы ели? 
— Ножом, конечно. 
— А ложку не пробовали взять? 
— Почему Вы так безжалостны ко мне, а еще врач?! Это невыносимо! 
— Вы ложку взять не пробовали? 
— Нет! 
— А что Вам помешало? 
— Я не хочу об этом говорить. Просто зашивайте. 
 
— Знали бы Вы, доктор, как я хочу пасты! 
— Могу себе представить, но у каждого своя судьба. 
— Как Вы считаете, когда‑нибудь у меня получится поесть макарон? Я ведь не хочу ничего особенного. 
— А Вы просто сварите макарон, возьмите вилку и ешьте. 
— Да? Хорошо, я подумаю. 
 
— Доктор, и как люди манную кашу едят и не режутся? 
— Ложкой!! 
— Вот и Вам со мной стало скучно. Раньше Вы не кричали. 
 
— Алло, позовите доктора, пожалуйста. 
— Извините, доктор обедает."
50,"-Мамочка, а что такое ""ебать-колотить""? 
- Боже, доченька, где ты это услышала? 
- Нигде не слышала. Смотрю вокруг и само на ум приходит."
51,"Пришел как-то грузин к экстрасенсу и говорит:

– Слушай, дарагой, помоги а, неделя прошла, а голова все болит, помоги а!

– Так я вижу у вас на голове растет волшебный волос. Только я не знаю где точно. Если загадать желание и вырвать его, то желание обязательно исполнится.

Пришел грузин домой сел на стул и начал вырывать волосы по одному и говорить: ""хочу новую ""волгу"", хочу новую ""волгу""…

И остался один последний волосок, ему надоело и он подумал, что тот пид*р его на*бал, и он со злости крикнул:

– Кинжал мне в ж*пу. А-а-а-а-а!"
52,"Пошли как то мужики в поход вчетвером. День идут, вечером привал делают, а у самого молодого мужика с непривычки ноги все в кровавых мозолях, мужики забеспокоились за него, думают о возвращении уже, а молодой говорит: ""Да не волнуйтесь, у меня завтра уже всё пройдёт."" Мужики, так и быть, решились поверить ему, легли спать. А на утро у молодого все мозоли и содранную кожу как рукой сняло, ни следа от напасти. Мужики удивились, порадовались и пошли дальше. Ещё день идут, а под вечер мужика уж кусает, не ядовитый, но сильно, падла, нога онемела. Мужики в панику, а молодой на привале перед сном говорит: ""Да не боись, мужики, завтра у меня уже всё пройдёт."" Решили и в этот раз ему довериться, легли спать. На утро у молодого снова словно ничего и не было, от зубов змеи ни следа, сам он бодр и на веселе. Мужики удивились но не стали вдаваться в подробности и снова на радостях зашагали дальше. День идут, два идут, а на третий молодой спотыкается о камень и ломает себе пальцы на руке, да и руку вывихнул. Мужики опять обеспокоены, наложили ему жгут, пальцы перебинтовали, оказали максимальную помощь, расстроены что возвращаться придётся , а молодой снова им и говорит: ""Да ничего, мужики, завтра уже всё пройдёт."" И на этот раз с облегчением все легли спать. На утро у молодого действительно всё прошло, кости срослись, вывиха нет, ссадины все зажили, а сам он как огурчик, мужики заулыбались друг другу, посматривая на молодого, ну и разорвали ему втроём очко."
53,"Заходит однажды украинец в ресторан покушать, а там армяне в нарды играют. Сев, он начал ждать, пока у него спросят заказ, но официанты хохла спросить забыли. Опечаленный своей судьбой хохол уже хотел было уйти, но тут его заказ принял русский мужик. Плотно покушав салом, хохол спросил:
-Хрю, хрю-хрю-хрю, хрю? (Почему ты спросил у меня мой заказ? Ведь хохлов всегда забывают спросить!)
-Отсосешь - скажу.
Делать нечего - пришлось выполнять приказ.
""Геи"" -, подумал Штирлиц, проходя мимо.
""Сам такой!"" - ловко парировал мужик.
Когда хохол закончил, он заявил:
-Хрююю-хрю-хрю! Хрю хрю!! (Ну, сделал я то, что ты сказал, теперь отвечай! Почему ты обратил внимание на меня?)
-Потому что свиньи - охуенная тема - сказал мужик, и оттарабанил хохла в сраку.
-И тут вы не поверите, товарищ следователь, украинец превращается в двенадцатилетнего мальчика!
Этим хохлом был Олег Сырников."
54,"Задержался Роман Юнеман на встрече с инвестором. Понимает что опаздывает на выступление перед сторонниками. Быстро побежал, взял такси, вбегает в здание. Ему волонтеры:
- Роман, у вас...
- Нет времени - кричит им Юнеман
Возле сцены Лёша Абанин ему:
- Рома, у тебя...
- Времени нет!
Выбегает Юнеман на сцену, хватает микрофон и сходу полному залу говорит:
- Я русский националист!
Зал начинает сдавленно смеяться.
""Вот, суки, - думает Роман -, до сих пор своим не считают, ну ладно"". Берет себя в руки и говорит:
- Я поволжский немец!
Зал смеётся уже громче.
- Я потомок казаков!
Зал хохочет.
Тут на сцену выходит Лёша Абанин и говорит шепотом:
- Рома, ты кипу забыл снять..."
55,"Супружеское ложе - муж с женой:
Жена: - Дорогой, а давай мы будем играть в ролевые игры?
Муж: - Давай.
Жена: - Ты таксист, а я молодая, симпатичная девочка, которая доехала, но у меня нет при себе денег рассчитаться за проезд.
Муж: - Давай.
Жена: - Дяденька таксист, у меня нет денег расплатиться за проезд, отпустите меня, пожалуйста!
.
.
.
.
.
Муж: - Иди..."
56,"Сидят в классе хохол, еврей и русский. Учительница про каникулы узнаёт. Спрашивает русского:
-Миша, как ты отдохнул?
-Мы с родителями ездили к бабушке на дачу, работали много.
-Хорошо.
Спрашивает еврея:
-Изя, а как ты каникулы провёл?
-Мы с моими папа и мама таки ездили в Израиль на море, очень жарко было.
-Ладно.
-
-
-
-
-
-
А хохла спросить забыли"
57,"Встречаются 3 мужика на Небесах. Решили обсудить, кто как умер. 
Первый говорит: 
–Возвращаюсь я с командировки домой пораньше и застаю свою жену голой на кровати. Начинаю искать любовника и вижу, как из подъезда какой-то мужик выбегает. Не долго думая, сбрасываю на него из окна холодильник, приезжает полиция и расстреливает меня. 
Второй говорит: 
–Выхожу я на пробежку, а мне холодильник на голову падает. 
Все смотрят на третьего, и он говорит: 
–Сижу я, значит, в холодильнике..."
